,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
150,150,0.5269637703895569,2021-08-15 06:48:47.714438,2021-08-15 07:00:31.624119,0 days 00:11:43.909681,512,0.20536904302590656,0.9533177480867705,0.07450244249328852,3,0.20213352974997204,4.766044623914172e-05,0.00018905793312291077,24.636930516260332,2,1,113.33314252971526,,,,28.914151649454332,51.55811387999716,,,COMPLETE
151,151,0.5230612754821777,2021-08-15 07:00:31.668500,2021-08-15 07:09:20.736388,0 days 00:08:49.067888,512,0.201548401102949,0.9567838918456673,0.07409671281142934,3,0.20216724784521556,4.520149596815995e-05,0.00020258257128195288,25.23290511909936,2,1,112.39387068028356,,,,28.814345270891515,44.69021671826933,,,COMPLETE
152,152,0.5254175066947937,2021-08-15 07:09:20.778876,2021-08-15 07:17:51.666371,0 days 00:08:30.887495,512,0.17916062670807226,0.9741758346481426,0.08059397399785953,3,0.20104065223385897,4.9842648582209086e-05,0.00019519054492092512,28.497362134639808,2,1,114.07650170592899,,,,27.44916765253497,51.584921053462,,,COMPLETE
153,153,0.5315877795219421,2021-08-15 07:17:51.708891,2021-08-15 07:29:06.398061,0 days 00:11:14.689170,512,0.21403608271575986,0.9677755964301061,0.08270077522605138,3,0.2023816946995922,6.767170211888827e-05,0.00018987159377524727,24.59678248103856,2,1,113.39326052259759,,,,25.349219962747913,45.19988551800391,,,COMPLETE
154,154,0.5111330151557922,2021-08-15 07:29:06.451966,2021-08-15 07:40:52.497996,0 days 00:11:46.046030,512,0.17856585779553716,0.9709520175439141,0.0792129537871196,3,0.2024042777719816,0.00011284561858559587,0.00011865133165178892,28.808046176334763,2,1,114.43362172228771,,,,27.62988846577668,44.304277782192635,,,COMPLETE
155,155,0.07611992955207825,2021-08-15 07:40:52.541036,2021-08-15 07:43:20.226116,0 days 00:02:27.685080,512,0.15767610298674598,1.1075404192633427,0.049496582616399956,3,0.22293088825837348,5.3548165661670894e-05,0.00019081448258122588,24.35012444244723,2,1,127.92761295713674,,,,21.493102724881517,40.857721849428444,,,COMPLETE
156,156,0.5283627510070801,2021-08-15 07:43:20.268155,2021-08-15 07:54:17.382516,0 days 00:10:57.114361,512,0.19934758185451265,0.9988006605755793,0.09977344095241071,3,0.29362957502990766,6.652838868104933e-05,0.00017140570748245957,31.554192924508303,2,1,113.90690025429184,,,,28.166191984472043,51.34773194554955,,,COMPLETE
157,157,0.07611992955207825,2021-08-15 07:54:17.427557,2021-08-15 07:57:06.012520,0 days 00:02:48.584963,512,0.21127488541227651,1.0012362398497112,0.09674993682493992,3,0.3021523993660477,7.133620500181759e-05,0.00015984454234002136,31.484946689811117,2,1,116.47413860326513,,,,28.92806243621457,50.63025500108442,,,COMPLETE
158,158,0.5339734554290771,2021-08-15 07:57:06.055558,2021-08-15 08:13:48.613913,0 days 00:16:42.558355,512,0.19224398804918774,0.9559109265303657,0.10371092021573806,3,0.20331282007066603,4.2141702636638354e-05,0.00013026899515806387,33.633924935551576,2,1,95.43648184209052,,,,28.643550157637524,53.011831501280774,,,COMPLETE
159,159,0.49989691376686096,2021-08-15 08:13:48.657172,2021-08-15 08:28:28.491678,0 days 00:14:39.834506,128,0.17656562607265666,0.8334650020846138,0.10347915879080699,3,0.2006513929219264,3.9603685394929776e-05,0.00013208122655987813,44.16159704362287,2,1,96.2516789173282,,,,28.848920414189344,46.86539728373901,,,COMPLETE
160,160,0.07611992955207825,2021-08-15 08:28:28.537900,2021-08-15 08:31:26.293791,0 days 00:02:57.755891,512,0.2291138082291501,1.0482718146182155,0.1126365372402912,3,0.240286066076838,5.208220974104627e-05,0.00010981729772016506,34.91415953334657,2,1,95.8955805481334,,,,23.9590477378065,53.28286114565791,,,COMPLETE
161,161,0.5153447389602661,2021-08-15 08:31:26.351841,2021-08-15 08:40:19.551860,0 days 00:08:53.200019,512,0.19486371590220658,0.9714013706336954,0.08631165650837397,3,0.2801475782608595,0.00014021463281428065,0.00019672326023228645,27.195498562219836,2,1,112.59782035041465,,,,26.514486226356638,52.072456544662636,,,COMPLETE
162,162,0.547536313533783,2021-08-15 08:40:19.590898,2021-08-15 08:52:01.160457,0 days 00:11:41.569559,512,0.19315511384982545,0.9455407719708576,0.06108816770372319,3,0.18944165921175754,0.0001378908071884528,0.00019070552516051238,27.886904317464438,2,1,111.97279870990036,,,,30.713190326430606,47.69541343776972,,,COMPLETE
163,163,0.5314847230911255,2021-08-15 08:52:01.205335,2021-08-15 09:06:32.489777,0 days 00:14:31.284442,512,0.18815726142430247,0.8818490687673973,0.06155617870640097,3,0.16693787688648112,3.0467626536415287e-05,0.0001578204747745804,29.16316530767377,2,1,102.66935052082978,,,,31.447268658455783,48.909675022213605,,,COMPLETE
164,164,0.5346066355705261,2021-08-15 09:06:32.538229,2021-08-15 09:19:13.368872,0 days 00:12:40.830643,512,0.1862124037287933,0.9518576061021725,0.05784762775653167,3,0.1898692351447001,2.5834513725331687e-05,0.00014819804714189514,37.958494561878645,2,1,127.41709665442069,,,,30.471362744507,47.07625291129296,,,COMPLETE
