,number,value,datetime_start,datetime_complete,duration,params_batchnorm,params_batchsize,params_beta_1,params_beta_2,params_dense_dropout_factor,params_epsilon,params_input_dropout_factor,params_learning_rate,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_hidden4,params_num_hidden5,params_num_hidden6,params_num_hidden7,params_num_hidden_input,state
117,117,0.5888875722885132,2021-08-05 12:56:47.404426,2021-08-05 12:59:16.231534,0 days 00:02:28.827108,True,512,0.9080651718849896,0.1522861491977239,0.06716840808560423,0.0005796214964908712,0.2627559186121163,0.00017083036558435664,3,205.6162417617025,39.97613083229699,173.48158983192482,,,,,,64.65239051686078,COMPLETE
118,118,0.6215356588363647,2021-08-05 12:59:16.265565,2021-08-05 13:03:27.621748,0 days 00:04:11.356183,True,512,0.8305347313801987,0.23288743444041818,0.05057376992547926,0.006096667766689527,0.2987393276236774,0.00014809979471299485,3,309.73997168611993,55.43436905707668,153.7949633566359,,,,,,99.88389161256967,COMPLETE
119,119,0.6063676476478577,2021-08-05 13:03:27.665788,2021-08-05 13:11:03.085225,0 days 00:07:35.419437,True,128,0.9799237341134204,0.24681952529250806,0.00015878715052436432,0.005382205547459625,0.30364749667963004,0.00024838057588411793,3,320.5875675153277,56.36871673378162,395.25491217794695,,,,,,98.91977825154544,COMPLETE
120,120,0.6023179292678833,2021-08-05 13:11:03.134270,2021-08-05 13:15:40.488055,0 days 00:04:37.353785,True,512,0.830982139429948,0.19281644041207907,0.04857350292561918,0.0073828446243991265,0.3305669523505119,0.0001566638814706372,4,426.3926539494011,50.319852045538774,187.24009151923767,116.03249884938387,,,,,88.72532750591947,COMPLETE
121,121,0.6170883178710938,2021-08-05 13:15:40.543105,2021-08-05 13:20:38.876937,0 days 00:04:58.333832,True,512,0.758237616955815,0.23002216457100808,0.01686454031021281,0.0035817881784903287,0.2710891334400045,0.00013764581681762814,3,263.80474571951066,33.953866922266634,142.04093056078517,,,,,,114.81621342799255,COMPLETE
122,122,0.5746620297431946,2021-08-05 13:20:38.928984,2021-08-05 13:24:38.328314,0 days 00:03:59.399330,True,512,0.8608384039502469,0.21545935923587803,0.38966498921084425,0.001440184912318857,0.23482502210655512,0.0001010297231193131,3,221.91027074828904,62.77383129395664,264.11870413006835,,,,,,72.32062076167776,COMPLETE
123,123,0.10996083170175552,2021-08-05 13:24:38.382363,2021-08-05 13:25:49.142600,0 days 00:01:10.760237,True,512,1.0774526756820795,0.26321051978051047,0.03737766860655503,0.00042720184423466296,0.24654138287271318,0.00011520076821087295,3,298.4592183850739,38.16507457215617,226.33295176099406,,,,,,100.53391384240959,COMPLETE
124,124,0.6181339025497437,2021-08-05 13:25:49.184638,2021-08-05 13:30:18.921510,0 days 00:04:29.736872,True,512,0.9481586924425021,0.19840719919237165,0.057338375778464706,0.01289015824839533,0.18997132978736714,0.00017627639840451546,3,236.15865882821618,28.195893816270164,156.95098351547833,,,,,,92.91433559187605,COMPLETE
125,125,0.6247017979621887,2021-08-05 13:30:18.972556,2021-08-05 13:34:38.714354,0 days 00:04:19.741798,True,512,0.697592288129512,0.2171054477330356,0.01485738235313324,0.006176006114594242,0.31748120758411885,0.00018734828495658732,3,312.0107866996606,44.68785552120737,298.60210934457837,,,,,,126.28883929693124,COMPLETE
126,126,0.626130223274231,2021-08-05 13:34:38.768403,2021-08-05 13:39:28.508433,0 days 00:04:49.740030,True,512,0.6699928642457473,0.2726651574663772,0.012375659306547306,0.009530666634286008,0.3122377890963414,0.00019840140823974974,3,193.93723235299535,56.93127537664526,312.87994385521154,,,,,,125.60194463815918,COMPLETE
